ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],# Registers [register/thread],Grid Size,Block Size [block],Result Type
78,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.33,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
79,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.70,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
80,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.90,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
81,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.17,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
82,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,105.31,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
83,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,618.88,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
84,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
85,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,781.73,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
86,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.98,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
87,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.58,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
88,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.91,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
89,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.42,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
90,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.09,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
91,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.26,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
92,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.06,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
93,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.64,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
94,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.14,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
95,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.64,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
96,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.01,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
97,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
98,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.38,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
99,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,218.59,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
100,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.83,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
101,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.75,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
102,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
103,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.88,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
104,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,198.78,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
105,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,764.86,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
106,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.86,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
107,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.56,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
108,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.48,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
109,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.58,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
110,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
111,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.48,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
112,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.84,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
113,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.54,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
114,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.30,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
115,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.86,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
116,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,818.66,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
117,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.26,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
118,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.38,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
119,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.96,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
120,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,60.06,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
121,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.26,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
122,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,620.10,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
123,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.25,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
124,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.16,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
125,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.65,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
126,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.77,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
127,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.98,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
128,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,105.22,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
129,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,817.66,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
130,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.58,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
131,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.25,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
132,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,97.06,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
133,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.75,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
134,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.45,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
135,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.42,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
136,0.00,elementwise_kernel_with_index,..elementwise_kernel_with_index..,5.41,0.00,16,"    1,    1,    1","   64,    1,    1",Kernel: SIMT
137,0.00,flash_fwd_kernel,..Flash_fwd_kernel_traits..,780.64,0.00,255,"    9,   13,   16","  128,    1,    1",Kernel: SIMT
138,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,219.94,0.00,226,"    8,  105,    1","  128,    1,    1",Kernel: SIMT
139,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.96,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
140,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,59.10,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
141,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.58,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
142,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,819.68,0.00,226,"   32,  105,    1","  128,    1,    1",Kernel: SIMT
143,0.00,vectorized_elementwise_kernel,..GeluCUDAKernelImpl..,199.33,0.00,32,"53300,    1,    1","  128,    1,    1",Kernel: SIMT
144,0.00,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,ampere_bf16_s16816gemm_bf16_128x256_ldg8_relu_f2f_stages_64x3_tn,765.02,0.00,238,"    8,   53,    1","  256,    1,    1",Kernel: SIMT
145,0.00,elementwise_kernel,..BinaryFunctor..binary_internal..,96.54,0.00,16,"26650,    1,    1","  128,    1,    1",Kernel: SIMT
146,0.00,vectorized_elementwise_kernel,..vectorized_elementwise_kernel..,58.53,0.00,32,"13325,    1,    1","  128,    1,    1",Kernel: SIMT
147,0.00,vectorized_layer_norm_kernel,..vectorized_layer_norm_kernel..,104.70,0.00,31,"13325,    1,    1","   32,    4,    1",Kernel: SIMT
148,0.00,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,ampere_bf16_s16816gemm_bf16_128x128_ldg8_relu_f2f_stages_32x5_tn,619.94,0.00,226,"   24,  105,    1","  128,    1,    1",Kernel: SIMT
